"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"ATP5B.1",7.55133830217497e-66,0.150461274761013,0.142,0.071,4.79970613824543e-61,"Pancreas","ATP5B","No",NA
"TNFAIP1.1",1.0215511036075e-65,0.168379826296419,0.13,0.064,6.49308096963966e-61,"Pancreas","TNFAIP1","No",NA
"AFAP1L1.7",1.18437756623455e-65,0.110895181773976,0.313,0.191,7.5280222487434e-61,"Pancreas","AFAP1L1","No",NA
"GRB2.2",1.26826261421788e-65,0.257476480438677,0.151,0.078,8.06120400223025e-61,"Pancreas","GRB2","No",NA
"DNM2.6",1.53893139838258e-65,0.162782559188827,0.191,0.105,9.78160186125949e-61,"Pancreas","DNM2","No",NA
"SORBS3.1",1.66246077208786e-65,0.186905630067141,0.124,0.06,1.05667669134676e-60,"Pancreas","SORBS3","No",NA
"ZBTB7A",1.84144244955755e-65,0.242058528541555,0.115,0.054,1.17043923536328e-60,"Pancreas","ZBTB7A","No",NA
"CAMK1D.2",1.85244596573985e-65,0.311055294248732,0.129,0.064,1.1774331802839e-60,"Pancreas","CAMK1D","No",NA
"HDLBP.7",2.25399836419614e-65,0.171706212590578,0.192,0.106,1.43266390026671e-60,"Pancreas","HDLBP","No",NA
"UBE2J1.2",2.36039846933158e-65,0.0927095449138535,0.151,0.077,1.50029287109185e-60,"Pancreas","UBE2J1","No",NA
"PDIA3.8",2.61137622154822e-65,0.147171147225539,0.226,0.129,1.65981684017826e-60,"Pancreas","PDIA3","No",NA
"NOTCH1.1",2.83328802861161e-65,0.249833684949167,0.164,0.087,1.80086620386583e-60,"Pancreas","NOTCH1","No",NA
"ZFP91",2.85267052241242e-65,0.250146759488163,0.101,0.045,1.81318591075056e-60,"Pancreas","ZFP91","No",NA
"LAMB1.7",3.19330106090776e-65,0.1221640074643,0.252,0.149,2.02969408732358e-60,"Pancreas","LAMB1","No",NA
"BAZ1A.2",3.23612151711352e-65,0.15585142137116,0.127,0.062,2.05691119749252e-60,"Pancreas","BAZ1A","No",NA
"MYO9B.3",7.00627814812719e-65,0.144749575681566,0.154,0.08,4.45326045373112e-60,"Pancreas","MYO9B","No",NA
"TPR.6",7.82332811082672e-65,0.136051314277407,0.205,0.115,4.97258558052257e-60,"Pancreas","TPR","No",NA
"SMARCC2.1",8.16609497859419e-65,0.205591537106993,0.124,0.06,5.19045162934425e-60,"Pancreas","SMARCC2","No",NA
"FUT11.2",1.41736959867428e-64,0.180036517412219,0.145,0.074,9.00894290613357e-60,"Pancreas","FUT11","No",NA
"DOCK1.7",1.58237849469434e-64,0.0616763025543072,0.319,0.195,1.00577559501267e-59,"Pancreas","DOCK1","No",NA
"SFPQ.6",1.72062078115291e-64,0.144504804017634,0.227,0.131,1.0936437747086e-59,"Pancreas","SFPQ","No",NA
"SLC25A3.1",1.8288108510583e-64,0.0432825561881165,0.152,0.078,1.16241046504116e-59,"Pancreas","SLC25A3","No",NA
"ELMO1.7",5.00274026778932e-64,0.0856775233084295,0.42,0.271,3.17979174160957e-59,"Pancreas","ELMO1","No",NA
"DCAF7.7",7.16063183403546e-64,0.134975885815516,0.204,0.114,4.55136920003128e-59,"Pancreas","DCAF7","No",NA
"ZCCHC2",1.01262754491102e-63,0.196711641448839,0.103,0.047,6.43636193820892e-59,"Pancreas","ZCCHC2","No",NA
"PPP2R5A.8",2.18577075470276e-63,0.0480562241820224,0.181,0.098,1.38929774939662e-58,"Pancreas","PPP2R5A","No",NA
"STAT6",2.3553200856079e-63,0.160346443014003,0.102,0.046,1.49706499961324e-58,"Pancreas","STAT6","No",NA
"MARK4.2",3.05646415453379e-63,0.173114507423709,0.142,0.073,1.94271918126322e-58,"Pancreas","MARK4","No",NA
"KCTD20.1",3.1999138790655e-63,0.211477918313539,0.12,0.058,2.03389726067282e-58,"Pancreas","KCTD20","No",NA
"THBD.4",1.25127468808327e-62,0.149431263634949,0.168,0.09,7.95322704492604e-58,"Pancreas","THBD","No",NA
"CRTAP",1.6441662352841e-62,0.107196331888195,0.123,0.06,1.04504850080892e-57,"Pancreas","CRTAP","No",NA
"ACIN1.1",1.66620312236747e-62,0.238744231136653,0.123,0.06,1.05905536660799e-57,"Pancreas","ACIN1","No",NA
"FBXO18",1.91207157932034e-62,0.264815115626883,0.115,0.055,1.2153318165318e-57,"Pancreas","FBXO18","No",NA
"SH3GLB1.1",2.17226443260991e-62,0.113055272021518,0.146,0.075,1.38071299601119e-57,"Pancreas","SH3GLB1","No",NA
"MAP4K4.8",3.28590650064408e-62,0.0509735188617153,0.347,0.216,2.08855503087438e-57,"Pancreas","MAP4K4","No",NA
"TNFSF10.1",3.29572802954154e-62,0.149900359036214,0.126,0.062,2.0947976928569e-57,"Pancreas","TNFSF10","No",NA
"HIF1A.7",3.66718126192055e-62,0.0782656983864563,0.198,0.111,2.33089708188932e-57,"Pancreas","HIF1A","No",NA
"RTF1.2",3.73566869085952e-62,0.186153789370927,0.131,0.065,2.37442837659722e-57,"Pancreas","RTF1","No",NA
"DYNLRB1.1",4.15427790656757e-62,0.153551959819669,0.115,0.055,2.64050058019341e-57,"Pancreas","DYNLRB1","No",NA
"MINK1",4.18345818902135e-62,0.116287933349944,0.108,0.05,2.65904785952386e-57,"Pancreas","MINK1","No",NA
"TBC1D15",4.65732675640227e-62,0.145655346594773,0.113,0.053,2.96024345963685e-57,"Pancreas","TBC1D15","No",NA
"LARS",5.50119580106689e-62,0.217826207256473,0.105,0.049,3.49661506311612e-57,"Pancreas","LARS","No",NA
"SRSF11.6",5.70034944285859e-62,0.036820833148999,0.205,0.116,3.62319910937535e-57,"Pancreas","SRSF11","No",NA
"ZNF704.5",5.83058855490714e-62,0.0760146490745088,0.205,0.116,3.70598039138453e-57,"Pancreas","ZNF704","No",NA
"APOLD1.2",6.13617804285301e-62,0.207273708731081,0.148,0.077,3.9002161258178e-57,"Pancreas","APOLD1","No",NA
"KHDRBS1.6",6.70850520946636e-62,0.0344487909174278,0.262,0.156,4.26399299618891e-57,"Pancreas","KHDRBS1","No",NA
"ZNF462.1",7.55696464322609e-62,0.0536507506186599,0.126,0.062,4.80328229688094e-57,"Pancreas","ZNF462","No",NA
"RBM39.6",1.16398674578224e-61,0.0460396210047946,0.217,0.124,7.39841615486652e-57,"Pancreas","RBM39","No",NA
"CAMTA1.8",1.17145051717546e-61,0.122168079940051,0.198,0.112,7.44585663221894e-57,"Pancreas","CAMTA1","No",NA
"CLPTM1.1",1.70784304733815e-61,0.173647048058515,0.117,0.056,1.0855221193186e-56,"Pancreas","CLPTM1","No",NA
"MAP3K3.6",2.06163501105905e-61,0.146801524354597,0.182,0.101,1.31039582937924e-56,"Pancreas","MAP3K3","No",NA
"TTYH3.2",2.07948375283451e-61,0.211165504243322,0.138,0.07,1.32174066813914e-56,"Pancreas","TTYH3","No",NA
"ABR.1",3.51587020906611e-61,0.230159036216214,0.122,0.06,2.23472226358451e-56,"Pancreas","ABR","No",NA
"FUBP1.1",4.21940595609846e-61,0.163807121806118,0.119,0.058,2.68189661975575e-56,"Pancreas","FUBP1","No",NA
