"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","diffexpressed","delabel"
"RERE.9",6.27744905161183e-13,0.409074587836515,0.377,0.343,3.99000939169499e-08,"Spleen","RERE","No",NA
"TCF12.7",4.80093619123693e-06,0.290121688202324,0.35,0.335,0.30515230525121,"Spleen","TCF12","No",NA
"TCF4.10",7.5200374156842e-05,-0.148337991865205,0.469,0.517,1,"Spleen","TCF4","No",NA
"FOXP1.10",8.30655522019464e-21,-0.384053422865578,0.284,0.38,5.27972956350792e-16,"Spleen","FOXP1","No",NA
"ZFP36L1.11",8.1623299421134e-32,-0.439851869881326,0.244,0.36,5.1880585345067e-27,"Spleen","ZFP36L1","No",NA
"NFIB.11",1.45771231435807e-108,-0.968615773560718,0.233,0.442,9.26536524129135e-104,"Spleen","NFIB","Down","NFIB"
"EPAS1.12",5.03260357757852e-155,-1.43058770892404,0.123,0.365,3.19877315994469e-150,"Spleen","EPAS1","Down","EPAS1"
"JUN.1",3.78766004141626e-20,1.39531737396541,0.352,0.174,2.40747459892459e-15,"Stomach","JUN","Up","JUN"
"EBF1.7",3.35492294135139e-25,1.04886766505201,0.542,0.304,2.13242257075236e-20,"Stomach","EBF1","Up","EBF1"
"MECOM.6",5.42289298936164e-12,0.87162596630758,0.419,0.259,3.44684501296815e-07,"Stomach","MECOM","Up","MECOM"
"TCF4.11",1.958952037762e-19,0.833518264967967,0.697,0.515,1.24512950472191e-14,"Stomach","TCF4","Up","TCF4"
"RERE.10",1.2418119905961e-06,0.631079207470024,0.461,0.344,0.0789308119342789,"Stomach","RERE","No",NA
"NFIB.12",2.91707451821787e-06,0.558328603552122,0.532,0.434,0.185412173452446,"Stomach","NFIB","No",NA
"ZFP36L1.12",0.000544508663275597,-0.342788813538977,0.248,0.357,1,"Stomach","ZFP36L1","No",NA
